__label__4	订单号 ： 1905191949956177   刚 收到 货 ， 发现 汤锅 的 锅盖 是 坏 的   碎成 渣 了  
__label__9	三个 型号 有 啥 区别 啊 [ wx ]   是 的 哦 [ wx ]   这 三个 型号 有 什么 区别   第二个 勒  
__label__9	电影票 是 今天 领 吗   好 的 ， 谢谢 ， 我 帮 我 会员 问 一下 【 呲 牙 】   直接 点 那个 链接 报名 就是 了 嘛   嗯 嗯 ， 知道 了 ， 谢谢 【 玫瑰 】  
__label__12	我 蜜粉 买 的 柠檬 ， 不是 说 次日 达 吗   怎么 今天 还 没收 到货   她 是 昨天早上 7 点过 买 的   按理说 现在 应该 到 了 吧  
__label__9	这 款 尿不湿 没货 了 么   商品 缺货 后 多久 补货  
__label__9	哺乳期 可以 用 吗   https : / / m . mia . com / item - 3871819 . html ？ sign = 47FDC59MzE0NTgxOTI =   那 孕妇 口红 可以 用 吗   有没有 孕妇 口红 卖 的 好 的     口碑 好 的     推荐 一下   嗯 好     谢谢 我 再 去 看 一下  
__label__12	视频 消息   你 说 的 视频 拍 给 你 了   我 是 看 评论 买 的 ， 怎么 就 跟 别人 不 一样 呢   那 为什么 评论 的 也 是 双机 标配 就 有 开关 呢   你们 评论 是 假 的 吗   我 就 郁闷 了 真的 ， 我 买 的 就 没有 开关 呢   好 吧 ， 你们 处理 吧 ， 不 处理 我 只能 去 评价 那里 说 了 ， 以为 蜜芽 跟 别的 网店 不 一样 呢  
__label__1	你们 的 订单 我 买 东西 用 了 优惠券   如果 退款 了   请问 优惠券 还 退 吗 ？   优惠券 在 有效期 内   那 为什么 我 有 比 订单 取消 了   优惠券 显示 已 使用   不能 再用 了 了   就是 开 了 plus   不是 送 了 优惠券 么   然后 我 拿来 买 了 铂金 装 M 的 纸尿裤   纸尿裤 的   然后 因为 你们 不让 修改 地址   所以 我 取消 了   嗯 嗯   你 看 下 是 铂金 装 的 M 码 尿不湿   我 的 优惠券 里面 没有 哇   只有 一张 是 刚刚 朋友 送给 我 的   我 下单 了 都 用 不了 哇   根本 不 显示   只有 这 一张 可以 用   这张 50 的 就 显示 已 使用   我 说 的 是 满 199 减 50 的 券   不是 我 朋友 送给 我 的 16.5 的 券   哎 ...   咋 就 不 明白 了   我 买 的 那笔 订单 取消 了 呀   所以 问 你 取消 的 订单 优惠券 退不退   你 又 说 退   说 清楚 点 呀   哪个 订单 没 取消   这里 显示 已 取消 呀   我 好 累 呀   跟 你们 沟通   你们 不是 可以 看到 我 的 订单 吗   截图 给 你 了   那 你 早点 说 清楚 么     浪费 我 时间 呀  
__label__4	以前 买 都 有 小箱子 装 的 ， 为什么 这次 没有 呢   我 只是 建议 下 ， 下次 用 小箱子 装 一下   我 收到 就 这样 了   1905181948779077   之前 都 有 箱子 装 的  
__label__9	为什么 添加 不了 地址   就是 不能 添加 地区 什么 的   就是 不能 添加 地区 什么 的   只能 添加 姓名 电话 和 详细 地址   地区 和 街道 没有 选项   你 看 第一张 图片   打开 选项 是 空白   现在 能 解决 吗   我 这边 需要 买 东西   没有 地址 ， 提交 不了 订单   还是 不行  
__label__13	15602164825  
__label__6	亲 ， 新 蜜粉 下单 有 红包   怎么 我 的 蜜粉 下单 有 的 都 没收 到 红包 呀   请问 拼团 的 是 没有 吗   [ yw ]  
__label__9	号码 标准 吗   平时 37     38 的 都 有 穿   鞋码 标准 吗   品牌 的 穿 37 ， 普通 的 穿 38   该 拍 哪个   推荐 尺码  
__label__4	为什么 还 没收 到 退款 ？   催促 退款   显示 已经 退款 却 没有 收到 退款 金额   货是 早 已经 退回去 了   什么 时候 给 我 退款   催促 退款   请问 为什么 还 没有 收到 退款 ？   不好意思 ， 那 我 再 问问  
__label__9	请问 电影票 在 哪里 领 啊  
__label__15	这 不是 搞笑 呢       防辐射 服     标题 中 不让 包含 敏感 词 防辐射   这一波 操作 太 神奇 了   [ xh ]   嗯     关注 哪里     有 什么 群 吗   那 几个 钉 钉 群 都 是 禁言 的   好 的       你们 这么 敬业  
__label__8	1905191949251611 此单 客户 申请 描述 不符 ， 电联 未接 ， 放着 会 超时 吗  
__label__9	兔头 妈妈     拉拉 裤有 厚 的 吗 ， 晚上 用 的   或者 平台 上 哪款 拉拉 裤厚些 ， 适合 晚上 用 的  
__label__9	你好 ， 我想查 一下 我 之前 的 订单 ， 有些 订单 怎么 查不到 了   日期 太久 记 不到 了 ， 是 已经 收到 货 了 的 ， 手机号码 也 不 确定 ， 只 大概 记得 商品 的 名字   需要 手机号 和 日期 都 要 吗 ？   我 自己 的 订单 为什么 在 我 的 订单 里 查不到   可能 是 16 或者 17 年 吧   13593613888   我 想想 可能 是 其他 号码 ， 稍等一下   可以 帮 我查 一下 订单 吗 ？   15172995553   我想查 一下 我 大概 两年 前 的 一个 订单 ， 具体 日期 我 不 记得 了 ， 我 的 订单 里 查不到   澳佳宝 的 保健品 吧   但是 我 也 不 确定 是不是 这个 手机号码   最久 的 日期 是 多少 ？   但是 我 确定 我 买 过   查不到 就算 了 ， 谢谢   还有 个 手机号 不 记得 了   不好意思 好像 点成 取消 了  
__label__1	你好 ， 我 有 一个 plus 之前 定 了 一个 礼包 ， 然后 呢 ， 又 退 了 ， 然后 现在 重新 订 了 一个 礼包 ， 呃 想 问 一下 之前 定 的 礼包 的 钱 什么 时候 返回 ？  
__label__9	这 是从 韩国 发 还是   因为 着急 ， 看 没见 发货 ， 所以 问 一下   估计 是 西安 仓发 ， 那 我 很快 就 收到 啦   谢谢 ， 暂 不 需要 了  
__label__9	这件 衣服 的 那个 黑色 马甲 是 搭配 的 吗 ？   好 的 谢谢 ， 因为 我 的 客户 他 就 看中 那 件 马甲 。   那 有没有 这件 马甲 卖 ？   好 的 谢谢  
